NCAA Event Profiles,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Women,,,,,,,,,,
,,,,,,,,,,
,,Prelims,,,,,Finals,,,
Event,,1st,8th,9th,16th,,1st,8th,9th,16th
,2022.0,1:59.31,202.97,2:03.26,2:05.05,,1:57.76,2:03.44,2:02.38,2:04.93
400 IM,2025.0,4:15.75,4:23.84,4:24.06,4:27.43,,4:11.23,4:24.11,4:23.77,4:28.85
,2024.0,4:21.51,4:24.40,4:24.96,4:28.10,,4:15.67,4:24.21,4:22.79,4:32.03
,2023.0,4:21.00,4:24.01,4:24.96,4:27.25,,4:15.73,4:26.00,4:23.15,4:30.50
,2022.0,4:20.44,4:24.95,4:25.18,4:26.93,,4:16.83,4:27.26,4:24.69,4:29.63
200 Medley Relay,2025.0,1:40.28,1:42.46,1:42.49,1:43.83,,1:39.51,1:42.28,1:41.58,1:44.17
,2024.0,1:41.10,1:43.18,1:43.30,1:44.47,,1:39.67,1:42.74,1:42.89,1:44.56
,2023.0,1:41.06,1:43.64,1:43.72,1:44.98,,1:39.55,1:44.13,1:42.09,1:45.51
,2022.0,1:40.21,1:42.86,1:43.37,1:44.86,,1:39.59,1:42.83,1:43.55,1:44.40
400 Medley Relay,2025.0,3:40.13,3:43.41,3:45.63,3:48.35,,3:38.48,3:44.44,3:44.42,3:47.23
,2024.0,3:40.52,3:46.74,3:47.25,3:50.20,,3:39.17,3:48.11,3:45.75,3:50.59
,2023.0,3:42.34,3:46.22,3:47.10,3:49.15,,3:39.28,3:46.92,3:46.48,3:50.38
,2022.0,3:41.39,3:46.50,3:46.85,3:50.33,,3:38.05,3:45.69,3:45.27,3:49.85
200 Free Relay,2025.0,1:31.23,1:32.88,1:32.97,1:34.11,,1:30.00,1:32.28,1:32.61,1:34.85
,2024.0,1:32.25,1:33.86,1:34.07,1:35.10,,1:31.54,1:34.08,1:33.37,1:35.32
,2023.0,1:32.71,1:33.87,1:34.21,1:35.25,,1:31.62,1:33.91,1:33.91,1:35.66
,2022.0,1:31.96,1:34.01,1:34.18,1:34.93,,1:30.39,1:34:44,1:33.23,1:35.58
400 Free Relay,2025.0,3:21.08,3:23.38,3:25.60,3:27.05,,3:19.03,3:23.67,3:24.79,3:28.06
,2024.0,3:22.80,3:26.69,3:26.82,3:28.94,,3:20.59,3:26.40,3:25.04,3:29.04
,2023.0,3:23.74,3:26.12,3:26.25,3:28.99,,3:21.66,3:26.41,3:24.46,3:30.35
,2022.0,3:23.07,3:25.59,3:25.97,3:28.58,,3:20.86,3:27.70,3:25.07,3:27.86
800 Free Relay,2025.0,,,,,,7:13.02,7:23.96,7:26.97,7:34.07
,2024.0,,,,,,7:16.20,7:29.89,7:30.21,7:35.14
,2023.0,,,,,,7:16.35,7:28.86,7:28.88,7:37.02
,2022.0,,,,,,7:19.17,7:28.87,7:30.81,7:34.92
